Neighbourhood,Neighbourhood Postal Code,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Postal Code,Venue formattedAddress,Venue Category,Venue Postal Code Prefix
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Rotterdamse Schouwburg,51.9205330131339,4.474169612057505,537,3012 CL,"['Schouwburgplein 25', '3012 CL Rotterdam', 'Nederland']",Theater,3012
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Staal Rotterdam,51.92014350537927,4.480370571055765,892,3011 AA,"['Beursplein 37 (Coolsingel)', '3011 AA Rotterdam', 'Nederland']",Bistro,3011
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Het Nieuwe Instituut,51.91461204938058,4.470966544496404,1083,3015 CB,"['Museumpark 25', '3015 CB Rotterdam', 'Nederland']",Museum,3015
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Huis Sonneveld,51.91561,4.472333,989,3015 CG,"['Jongkindstraat 12', '3015 CG Rotterdam', 'Nederland']",Museum,3015
Oude Westen,3014,51.91977199999999,4.4660891,KINO,51.91717560621591,4.469214206279973,359,3014 PM,"['Gouvernestraat 129-133', '3014 PM Rotterdam', 'Nederland']",Movie Theater,3014
Oude Westen,3014,51.91977199999999,4.4660891,Days Inn,51.92830792825404,4.473928981412871,1092,3032 AL,"['Schiekade 730', '3032 AL Rotterdam', 'Nederland']",Hotel,3032
Oude Westen,3014,51.91977199999999,4.4660891,Bilderberg Parkhotel Rotterdam,51.915927997681884,4.473517188129288,665,3015 LB,"['Westersingel 70', '3015 LB Rotterdam', 'Nederland']",Hotel,3015
Oude Westen,3014,51.91977199999999,4.4660891,Hotel Breitner,51.91566989757951,4.469307301445345,507,3015 XA,"['Breitnerstraat', 'Rotterdam', 'Nederland']",Hotel,3015
Oude Westen,3014,51.91977199999999,4.4660891,The James,51.92107428957907,4.477825682849285,818,3012 CA,"['Aert van Nesstraat 25', '3012 CA Rotterdam', 'Nederland']",Hotel,3012
Oude Westen,3014,51.91977199999999,4.4660891,Hotel Orion,51.91268729873533,4.461657393336214,845,3021 JM,"['Zwaerdecroonstraat 40', 'Rotterdam', 'Nederland']",Hotel,3021
Oude Westen,3014,51.91977199999999,4.4660891,Rotterdam Marriott Hotel,51.92241389415069,4.471624195521144,480,3012 CN,"['Weena 686', '3012 CN Rotterdam', 'Nederland']",Hotel,3012
Oude Westen,3014,51.91977199999999,4.4660891,Holiday Inn Express Rotterdam - Central Station,51.92441487211056,4.475928246974945,850,3013 CK,"['Weena 121', '3013 CK Rotterdam', 'Nederland']",Hotel,3013
Oude Westen,3014,51.91977199999999,4.4660891,Grand Hotel Central,51.92305111571185,4.476566478788637,806,3012 EH,"['Kruiskade 12 (Coolsingel)', '3012 EH Rotterdam', 'Nederland']",Hotel,3012
